SYMBOL,NAME OF COMPANY
ACEENGITEC.NS,Ace Engitech Ltd
ACEINTEG.NS,Ace Integrated Solutions Limited
ACEMEN.NS,Ace Men Engg Works Ltd
ACESOFT.NS,Ace Software Exports Ltd.-$
ACFL.NS,Apex Capital And Finance Ltd
ACFSL.NS,Amrapali Capital And Finance Services Ltd
ACGL.NS,Automobile Corporation Of Goa Ltd.-$
ACHYUT.NS,Achyut Healthcare Ltd
ACI.NS,Archean Chemical Industries Limited
ACIIN.NS,Aci Infocom Ltd.
ACKNIT.NS,Acknit Industries Ltd.
ACL.NS,Andhra Cements Limited
ACLD.NS,Aelea Commodities Ltd
ACLGATI.NS,Allcargo Gati Limited
ACME.NS,Acme Resources Ltd
ACML.NS,Aditya Consumer Marketing Ltd
ACROW.NS,Acrow India Ltd.
ACTIVE.NS,Active Clothing Co Ltd
ADANIENSOL.NS,Adani Energy Solutions Limited
ADANIENT.NS,Adani Enterprises Limited
ADANIGREEN.NS,Adani Green Energy Limited
ADANIPORTS.NS,Adani Ports And Special Economic Zone Limited
ADANIPOWER.NS,Adani Power Limited
ADARSH.NS,Adarsh Mercantile Ltd
ADARSHPL.NS,Adarsh Plant Protect Ltd.
ADCINDIA.NS,Adc India Communications Limited-$
ADCON.NS,Adcon Capital Services Ltd
ADDIND.NS,Addi Industries Ltd.-$
ADESHWAR.NS,Adeshwar Meditex Ltd
ADFFOODS.NS,Adf Foods Limited
ADHBHUTIN.NS,Adhbhut Infrastructure Ltd
ADHIRAJ.NS,Adhiraj Distributors Ltd
ADIEXRE.NS,Adinath Exim Resources Ltd.
ADINATH.NS,Adinath Textiles Ltd.
ADISHAKTI.NS,Adishakti Loha And Ispat Ltd
ADITYA.NS,Aditya Ispat Ltd.
ADITYASP.NS,Aditya Spinners Ltd.
ADL.NS,Archidply Decor Limited
ADLINE.NS,Adline Chem Lab Ltd
ADMANUM.NS,Ad-Manum Finance Ltd.
ADORMUL.NS,Ador Multiproducts Ltd.
ADORWELD.NS,Ador Welding Limited
ADROITINFO.NS,Adroit Infotech Limited
ADROITPP.NS,Adroit Infotech Ltd
ADSL.NS,Allied Digital Services Limited
ADTECH.NS,Adtech Systems Ltd
ADVAIT.NS,Advait Infratech Ltd
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited
ADVENZYMES.NS,Advanced Enzyme Technologies Limited
ADVIKCA.NS,Advik Capital Ltd
ADVLIFE.NS,Advance Lifestyles Ltd.
ADVPETR-B.NS,Advance Petrochemicals Ltd.
AEGISLOG.NS,Aegis Logistics Limited
AEIM.NS,Artificial Electronics Intelligent Material Ltd
AEL.NS,Amba Enterprises Ltd
AEONXDIGI.NS,Aeonx Digital Technology Ltd
AEPL.NS,Artemis Electricals And Projects Ltd
AEROFLEX.NS,Aeroflex Industries Limited
AERPACE.NS,Aerpace Industries Ltd
AETHER.NS,Aether Industries Limited
AFCOM.NS,Afcom Holdings Ltd
AFCONS.NS,Afcons Infrastructure Limited
AFEL.NS,A.F. Enterprises Ltd
AFFLE.NS,Affle (India) Limited
AFFORDABLE.NS,Affordable Robotic & Automation Limited
AFIL.NS,Akme Fintrade (India) Limited
AGARIND.NS,Agarwal Industrial Corporation Limited
AGARWAL.NS,Agarwal Fortune India Ltd
AGI.NS,Agi Greenpac Limited
AGIIL.NS,Agi Infra Limited
AGOL.NS,Ashapuri Gold Ornament Ltd
AGRITECH.NS,Agri-Tech (India) Limited
AGROPHOS.NS,Agro Phos India Limited
AGSTRA.NS,Ags Transact Technologies Limited
AHASOLAR.NS,Ahasolar Technologies Ltd
AHL.NS,Abans Holdings Limited
AHLADA.NS,Ahlada Engineers Limited
AHLEAST.NS,Asian Hotels (East) Limited
AHLUCONT.NS,Ahluwalia Contracts (India) Limited
AHMDSTE.NS,Ahmedabad Steelcraft Ltd.
AIAENG.NS,Aia Engineering Limited
AICHAMP.NS,Ai Champdany Industries Ltd.
AIIL.NS,Authum Investment & Infrastructure Limited
AIKPIPES.NS,Aik Pipes And Polymers Ltd
AIMCOPEST.NS,Aimco Pesticides Ltd.
AIML.NS,Alliance Integrated Metaliks Ltd.
AIRAN.NS,Airan Limited
AIROLAM.NS,Airo Lam Limited
AIRTELPP.NS,Bharti Airtel  Ltd
AJANTPHARM.NS,Ajanta Pharma Limited
AJANTSOY.NS,Ajanta Soya Ltd.
AJCON.NS,Ajcon Global Services Ltd.
AJEL.NS,Ajel Ltd.
AJMERA.NS,Ajmera Realty & Infra India Limited
AJOONI.NS,Ajooni Biotech Limited
AJWAFUN.NS,Ajwa Fun World & Resort Ltd.
AKASH.NS,Akash Infra-Projects Limited
AKCAPIT.NS,A.K.Capital Services Ltd.
AKG.NS,Akg Exim Limited
AKI.NS,Aki India Limited
AKSHAR.NS,Akshar Spintex Limited
AKSHARCHEM.NS,Aksharchem India Limited
AKSHOPTFBR.NS,Aksh Optifibre Limited
AKSPINTEX.NS,A.K. Spintex Ltd
AKUMS.NS,Akums Drugs And Pharmaceuticals Limited
AKZOINDIA.NS,Akzo Nobel India Limited
ALAN SCOTT.NS,Alan Scott Industries Ltd
ALANKIT.NS,Alankit Limited
ALBERTDAVD.NS,Albert David Limited
ALEMBICLTD.NS,Alembic Limited
ALEXANDER.NS,Alexander Stamps And Coin Ltd
ALFAICA.NS,Alfa Ica (India) Ltd.
ALFATRAN.NS,Alfa Transformers Ltd.
ALFAVIO.NS,Alfavision Overseas (India) Ltd.
ALFL.NS,Abhinav Leasing & Finance Ltd
ALFREDHE.NS,Alfred Herbert (India) Ltd.
ALICON.NS,Alicon Castalloy Limited
ALKALI.NS,Alkali Metals Limited
ALKEM.NS,Alkem Laboratories Limited
ALKOSIGN.NS,Alkosign Ltd
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
ALLCARGO.NS,Allcargo Logistics Limited
ALLDIGI.NS,Alldigi Tech Limited
ALMONDZ.NS,Almondz Global Securities Limited
ALNATRD.NS,Alna Trading & Exports Ltd.
ALOKINDS.NS,Alok Industries Limited
ALPA.NS,Alpa Laboratories Limited
ALPHAETF.NS,Mirae Asset Nifty 200 Alpha 30 Etf
ALPHAGEO.NS,Alphageo (India) Limited
ALPHAIND.NS,Alphalogic Industries Ltd
ALPHALOGIC.NS,Alphalogic Techsys Ltd
ALPINEHOU.NS,Alpine Housing Development Corporation Ltd.
ALPL30IETF.NS,Icici Prudential Nifty Alpha Low- Volatility 30 Etf
ALPSINDUS.NS,Alps Industries Limited
ALSL.NS,Alacrity Securities Ltd
ALSTONE.NS,Alstone Textiles (India) Ltd
ALUFLUOR.NS,Alufluoride Ltd.
AMAL.NS,Amal Ltd.
AMALGAM.NS,Amalgamated Electricity Co.Ltd.
AMANAYA.NS,Amanaya Ventures Ltd
AMARJOTHI.NS,Amarjothi Spinning Mills Ltd.
AMARNATH.NS,Sri Amarnath Finance Ltd
AMARSEC.NS,Amarnath Securities Ltd
AMBALALSA.NS,Ambalal Sarabhai Enterprises Ltd.
AMBARPIL.NS,Ambar Protein Industries Ltd
AMBER.NS,Amber Enterprises India Limited
AMBICAAGAR.NS,Ambica Agarbathies & Aroma Industries Limited
AMBIKCO.NS,Ambika Cotton Mills Limited
AMBIT.NS,Ambitious Plastomac Company Ltd.
AMBOAGRI.NS,Ambo Agritec Ltd
AMBUJACEM.NS,Ambuja Cements Limited
AMCOIND.NS,Amco India Ltd.-$
AMDIND.NS,Amd Industries Limited
AMERISE.NS,Amerise Biosciences Ltd
AMFORG.NS,Amforge Industries Ltd.
AMIC.NS,Amic Forging Ltd
AMINTAN.NS,Amin Tannery Ltd
AMIORG.NS,Ami Organics Limited
AMITINT.NS,Amit International Ltd.
AMJLAND.NS,Amj Land Holdings Limited
AMKAY.NS,Amkay Products Ltd
AMNPLST.NS,Amines & Plasticizers Limited
AMPVOLTS.NS,Ampvolts Ltd
AMRAAGRI.NS,Amraworld Agrico Ltd.
AMRAFIN.NS,Amrapali Fincap Ltd
AMRAPLIN.NS,Amrapali Industries Ltd.
AMRUTANJAN.NS,Amrutanjan Health Care Limited
AMS.NS,Ams Polymers Ltd
AMTL.NS,Advance Metering Technology Ltd.
ANANDPROJ.NS,Anand Projects Ltd
ANANDRATHI.NS,Anand Rathi Wealth Limited
ANANTRAJ.NS,Anant Raj Limited
ANDHRAPAP.NS,Andhra Paper Limited
ANDHRAPET.NS,Andhra Petrochemicals Ltd.
ANDHRSUGAR.NS,The Andhra Sugars Limited
ANDREWYU.NS,Andrew Yule & Company Ltd.
ANG.NS,Ang Lifesciences India Ltd
ANGEL.NS,Angel Fibers Ltd
ANGELONE.NS,Angel One Limited
ANIKINDS.NS,Anik Industries Limited
ANJANI.NS,Anjani Synthetics Ltd.-$
ANJANIFIN.NS,Anjani Finance Ltd.
ANJANIFOODS.NS,Anjani Foods Ltd
ANKIN.NS,Anka India Ltd.
ANKITMETAL.NS,Ankit Metal & Power Limited
ANMOL.NS,Anmol India Limited
ANNAINFRA.NS,Anna Infrastructures Ltd.
ANSALAPI.NS,Ansal Properties & Infrastructure Limited
ANSALBU.NS,Ansal Buildwell Ltd.-$
ANSALHSG.NS,Ansal Housing Ltd-$
ANSINDUS.NS,Ans Industries Ltd
ANTARIKSH.NS,Antariksh Industries Ltd
ANTGRAPHIC.NS,Antarctica Limited
ANUHPHR.NS,Anuh Pharma Ltd.
ANUP.NS,The Anup Engineering Limited
ANUPAM.NS,Anupam Finserv Ltd
ANURAS.NS,Anupam Rasayan India Limited
ANUROOP.NS,Anuroop Packaging Ltd
APARINDS.NS,Apar Industries Limited
APCL.NS,Anjani Portland Cement Limited
APCOTEXIND.NS,Apcotex Industries Limited
APEX.NS,Apex Frozen Foods Limited
APIL.NS,Avi Products India Ltd
APIS.NS,Apis India Ltd.
APLAB.NS,Aplab Ltd.-$
APLAPOLLO.NS,Apl Apollo Tubes Limited
APLLTD.NS,Alembic Pharmaceuticals Limited
APMIN.NS,Apm Industries Ltd.-$
APOLLO.NS,Apollo Micro Systems Limited
APOLLOFI.NS,Apollo Finvest (India) Ltd.
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
APOLLOPIPE.NS,Apollo Pipes Limited
APOLLOTYRE.NS,Apollo Tyres Limited
APOLSINHOT.NS,Apollo Sindoori Hotels Limited
APOORVA.NS,Apoorva Leasing Finance And Investment Company Ltd
APTECHT.NS,Aptech Limited
APTPACK.NS,Apt Packaging Ltd.
APTUS.NS,Aptus Value Housing Finance India Limited
AQFINTECH.NS,Algoquant Fintech Ltd
ARAVALIS.NS,Aravali Securities & Finance Ltd.
ARCEEIN.NS,Arcee Industries Ltd.
ARCFIN.NS,Arc Finance Ltd
ARCFIN-RE.NS,Arc Finance Ltd
ARCHIDPLY.NS,Archidply Industries Limited
ARCHIES.NS,Archies Limited
ARCHITORG.NS,Archit Organosys Ltd.
ARCL.NS,Arcl Organics Ltd
ARE&M.NS,Amara Raja Energy & Mobility Limited
ARENTERP.NS,Rajdarshan Industries Limited
AREXMIS.NS,Arex Industries Ltd.
ARFIN.NS,Arfin India Ltd
ARIES.NS,Aries Agro Limited
ARIGATO.NS,Arigato Universe Ltd
ARIHANT.NS,Arihant Foundations & Housing Ltd.-$
ARIHANTCAP.NS,Arihant Capital Markets Limited
ARIHANTSUP.NS,Arihant Superstructures Limited
ARISE.NS,Arihant'S Securities Ltd.
ARISINT.NS,Aris International Ltd.
ARKADE.NS,Arkade Developers Limited
ARL.NS,Anand Rayons Ltd
ARMAN.NS,Arman Holdings Ltd
ARMANFIN.NS,Arman Financial Services Limited
ARNOLD.NS,Arnold Holdings Ltd
AROGRANITE.NS,Aro Granite Industries Limited
ARROWGREEN.NS,Arrow Greentech Limited
ARROWHEAD.NS,Arrowhead Seperation Engineering Ltd
ARSHIYA.NS,Arshiya Limited
ARSSINFRA.NS,Arss Infrastructure Projects Limited
ARTEFACT.NS,Artefact Projects Ltd.
ARTEMISMED.NS,Artemis Medicare Services Limited
ARTNIRMAN.NS,Art Nirman Limited
ARTSONEN.NS,Artson Engineering Ltd.
ARUNAHTEL.NS,Aruna Hotels Ltd.
ARUNIS.NS,Arunis Abode Ltd
ARVEE.NS,Arvee Laboratories (India) Limited
ARVIND.NS,Arvind Limited
ARVINDFASN.NS,Arvind Fashions Limited
ARVSMART.NS,Arvind Smartspaces Limited
ARYACAPM.NS,Aryaman Capital Markets Ltd
ARYAMAN.NS,Aryaman Financial Services Ltd.
ARYAN.NS,Aryan Share And Stock Brokers Ltd
ARYAVAN.NS,Aryavan Enterprise Ltd
ASAHIINDIA.NS,Asahi India Glass Limited
ASAHISONG.NS,Asahi Songwon Colors Limited
ASAL.NS,Automotive Stampings And Assemblies Limited
ASALCBR.NS,Associated Alcohols & Breweries Ltd.
ASARFI.NS,Asarfi Hospital Ltd
ASHAI.NS,Ashiana Agro Industries Ltd.
ASHAPURMIN.NS,Ashapura Minechem Limited
ASHCAP.NS,Ashirwad Capital Ltd.
ASHIANA.NS,Ashiana Housing Limited
ASHIKA.NS,Ashika Credit Capital Ltd
ASHIMASYN.NS,Ashima Limited
ASHIS.NS,Ashiana Ispat Ltd.
ASHISHPO.NS,Ashish Polyplast Ltd.
ASHNI.NS,Ashnisha Industries Ltd
ASHNOOR.NS,Ashnoor Textile Mills Ltd.
ASHOKA.NS,Ashoka Buildcon Limited
ASHOKAMET.NS,Ashoka Metcast Limited
ASHOKLEY.NS,Ashok Leyland Limited
ASHOKRE.NS,Ashoka Refineries Ltd.
ASHRAM.NS,Ashram Online.Com Ltd.
ASHSI.NS,Ashirwad Steels & Industries Ltd.
ASHUTPM.NS,Ashutosh Paper Mills Ltd.
ASIACAP.NS,Asia Capital Ltd
ASIAN.NS,Asian Warehousing Ltd
ASIANENE.NS,Asian Energy Services Limited
ASIANHOTNR.NS,Asian Hotels (North) Limited
ASIANPAINT.NS,Asian Paints Limited
ASIANTILES.NS,Asian Granito India Limited
ASIANTNE.NS,Asian Tea & Exports Ltd.-$
ASIAPAK.NS,Asia Pack Ltd.
ASIIL.NS,Asi Industries Ltd
ASINPET.NS,Asian Petroproducts & Exports Ltd.
ASITCFIN.NS,Asit C.Mehta Financial Services Ltd.
ASKAUTOLTD.NS,Ask Automotive Limited
ASMS.NS,Bartronics India Limited
ASMTEC.NS,Asm Technologies Ltd.
ASPINWALL.NS,Aspinwall And Company Limited
ASPIRA.NS,Aspira Pathlab & Diagnostics Ltd
ASRL.NS,Add-Shop Eretail Ltd
ASSAMENT.NS,Assam Entrade Ltd
ASSOCER.NS,Associated Ceramics Ltd.
ASSOCIATED.NS,Associated Coaters Ltd
ASTALLTD.NS,Astal Laboratories Ltd
ASTAR.NS,Asian Star Co.Ltd.-$
ASTEC.NS,Astec Lifesciences Limited
ASTERDM.NS,Aster Dm Healthcare Limited
ASTRAL.NS,Astral Limited
ASTRAMICRO.NS,Astra Microwave Products Limited
ASTRAZEN.NS,Astrazeneca Pharma India Limited
ASTRON.NS,Astron Paper & Board Mill Limited
ASUTENT.NS,Asutosh Enterprises Ltd.
ATALREAL.NS,Atal Realtech Limited
ATAM.NS,Atam Valves Limited
ATFL.NS,Agro Tech Foods Limited
ATGL.NS,Adani Total Gas Limited
ATHARVENT.NS,Atharv Enterprises Ltd.
ATHCON.NS,Athena Constructions Ltd
ATHENAGLO.NS,Athena Global Technologies Ltd-$
ATISHAY.NS,Atishay Ltd
ATL.NS,Allcargo Terminals Limited
ATLANTAA.NS,Atlantaa Limited
ATUL.NS,Atul Limited
ATULAUTO.NS,Atul Auto Limited
ATVPR.NS,Atv Projects India Ltd.
AUBANK.NS,Au Small Finance Bank Limited
AURIONPRO.NS,Aurionpro Solutions Limited
AUROLAB.NS,Auro Laboratories Ltd.
AUROPHARMA.NS,Aurobindo Pharma Limited
AURUM.NS,Aurum Proptech Limited
AURUMPP.NS,Aurum Proptech Ltd
AUSOMENT.NS,Ausom Enterprise Limited
AUSTENG.NS,Austin Engineering Co.Ltd.
AUTOAXLES.NS,Automotive Axles Limited
AUTOIETF.NS,Icici Prudential Nifty Auto Etf
AUTOIND.NS,Autoline Industries Limited
AUTOINT.NS,Autoriders International Ltd.
AUTOPRD.NS,Automobile Products Of India Ltd.
AVADHSUGAR.NS,Avadh Sugar & Energy Limited
AVAILFC.NS,Available Finance Ltd.
AVALON.NS,Avalon Technologies Limited
AVANCE.NS,Avance Technologies Ltd.
AVANTEL.NS,Avantel Limited
AVANTIFEED.NS,Avanti Feeds Limited
AVEER.NS,Aveer Foods Ltd
AVG.NS,Avg Logistics Limited
AVI.NS,Avi Polymers Ltd
AVL.NS,Aditya Vision Ltd
AVONMORE.NS,Avonmore Capital & Management Services Limited
AVROIND.NS,Avro India Limited
AVTNPL.NS,Avt Natural Products Limited
AWFIS.NS,Awfis Space Solutions Limited
AWHCL.NS,Antony Waste Handling Cell Limited
AWL.NS,Adani Wilmar Limited
AXELPOLY.NS,Axel Polymers Ltd.
AXISBANK.NS,Axis Bank Limited
AXISCADES.NS,Axiscades Technologies Limited
AXISCETF.NS,Axis Nifty India Consumption Etf
AXISHCETF.NS,Axis Nifty Healthcare Etf
AXISTECETF.NS,Axis Nifty It Etf
AXITA.NS,Axita Cotton Limited
AXSENSEX.NS,Axis S&P Bse Sensex Etf
AXTEL.NS,Axtel Industries Ltd.
AYMSYNTEX.NS,Aym Syntex Limited
AZAD.NS,Azad Engineering Limited
AZADIND.NS,Azad India Mobility Ltd
AZTEC.NS,Aztec Fluids & Machinery Ltd
B2BSOFT.NS,B2B Software Technologies Ltd.
BABA.NS,Baba Arts Ltd.-$
BACPHAR.NS,Bacil Pharma Ltd.
BAFNAPH.NS,Bafna Pharmaceuticals Limited
BAGFILMS.NS,B.A.G Films And Media Limited
BAIDFIN.NS,Baid Finserv Limited
BAJAJ-AUTO.NS,Bajaj Auto Limited
BAJAJCON.NS,Bajaj Consumer Care Limited
BAJAJELEC.NS,Bajaj Electricals Limited
BAJAJFINSV.NS,Bajaj Finserv Limited
BAJAJHCARE.NS,Bajaj Healthcare Limited
BAJAJHFL.NS,Bajaj Housing Finance Limited
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited
BAJAJST.NS,Bajaj Steel Industries Ltd.
BAJEL.NS,Bajel Projects Limited
BAJFINANCE.NS,Bajaj Finance Limited
BAJGLOB.NS,Bajaj Global Ltd.
BALAJEE.NS,Shree Tirupati Balajee Agro Trading Company Limited
BALAJITELE.NS,Balaji Telefilms Limited
BALAMINES.NS,Balaji Amines Limited
BALAXI.NS,Balaxi Pharmaceuticals Limited
BALGOPAL.NS,Balgopal Commercial Ltd
BALKRISHNA.NS,Balkrishna Paper Mills Limited
BALKRISIND.NS,Balkrishna Industries Limited
BALMLAWRIE.NS,Balmer Lawrie & Company Limited
BALPHARMA.NS,Bal Pharma Limited
BALRAMCHIN.NS,Balrampur Chini Mills Limited
BALTE.NS,Balurghat Technologies Ltd.
BALUFORGE.NS,Balu Forge Industries Limited
BAMBINO.NS,Bambino Agro Industries Ltd.
BAMPSL.NS,Bampsl Securities Ltd.
BANARBEADS.NS,Banaras Beads Limited
BANARISUG.NS,Bannari Amman Sugars Limited
BANASFN.NS,Banas Finance Ltd.
BANCOINDIA.NS,Banco Products (I) Limited
BANDARAM.NS,Bandaram Pharma Packtech Ltd
BANDHANBNK.NS,Bandhan Bank Limited
BANG.NS,Bang Overseas Limited
BANKA.NS,Banka Bioloo Limited
BANKBARODA.NS,Bank Of Baroda
BANKBEES.NS,Nippon India Etf Nifty Bank Bees
BANKBETF.NS,Bajaj Finserv Nifty Bank Etf
BANKETF.NS,Mirae Asset Nifty Bank Etf
BANKETFADD.NS,Dsp Nifty Bank Etf
BANKIETF.NS,Icici Prudential Nifty Bank Etf
BANKINDIA.NS,Bank Of India
BANKNIFTY1.NS,Kotak Nifty Bank Etf
BANKPSU.NS,Mirae Asset Nifty Psu Bank Etf
BANSALWIRE.NS,Bansal Wire Industries Limited
BANSTEA.NS,Bansisons Tea Industries Ltd.
BANSWRAS.NS,Banswara Syntex Limited
BAPACK.NS,B&A Packaging India Limited
BARBEQUE.NS,Barbeque Nation Hospitality Limited
BARODARY.NS,Baroda Rayon Corporation Ltd.
BAROEXT.NS,Baroda Extrusion Ltd.
BASANTGL.NS,Basant Agro Tech (India) Ltd.-$
BASF.NS,Basf India Limited
BASML.NS,Bannari Amman Spinning Mills Limited
BATAINDIA.NS,Bata India Limited
BATLIBOI.NS,Batliboi Ltd.-$
BAYERCROP.NS,Bayer Cropscience Limited
BAZELINTER.NS,Bazel International Ltd
BBL.NS,Bharat Bijlee Limited
BBNPNBETF.NS,Baroda Bnp Paribas Nifty Bank Etf
BBOX.NS,Black Box Limited
BBTC.NS,Bombay Burmah Trading Corporation Limited
BBTCL.NS,B&B Triplewall Containers Limited
BCCFUBA.NS,Bcc Fuba India Ltd.
BCCL.NS,Bhatia Colour Chem Ltd
BCLENTERPR.NS,Bcl Enterprises Ltd
BCLIND.NS,Bcl Industries Limited
BCONCEPTS.NS,Brand Concepts Limited
BCP.NS,B.C. Power Controls Ltd
